time,level,spatial_ref,no2_conc,o3_conc,co_conc,no_conc,so2_conc
2024-01-01 00:00:00,0.0,0,10.532207,16.871016,329.02808,0.56193334,5.0613484
2024-01-01 01:00:00,0.0,0,10.460033,17.56338,304.85428,0.38027063,5.255399
2024-01-01 02:00:00,0.0,0,10.419427,16.52637,283.02835,0.33524087,4.476552
2024-01-01 03:00:00,0.0,0,9.992021,16.3939,269.4672,0.37175003,4.227045
2024-01-01 04:00:00,0.0,0,11.532531,16.866747,263.84772,0.569796,5.0737405
2024-01-01 05:00:00,0.0,0,14.246452,14.807762,274.33923,1.7435819,6.4266934
2024-01-01 06:00:00,0.0,0,17.016573,12.99623,324.9526,4.1757226,7.1667466
2024-01-01 07:00:00,0.0,0,17.11499,12.046777,380.26175,6.7212987,7.168263
2024-01-01 08:00:00,0.0,0,15.251464,15.268411,381.46313,9.346739,7.2743535
2024-01-01 09:00:00,0.0,0,15.050935,20.479807,351.22598,9.818381,7.6483207
2024-01-01 10:00:00,0.0,0,17.58357,26.2811,335.1362,9.643361,9.455594
2024-01-01 11:00:00,0.0,0,16.927618,29.019714,315.84238,7.6212673,10.685229
2024-01-01 12:00:00,0.0,0,15.742473,33.478863,317.68015,7.059782,11.113583
2024-01-01 13:00:00,0.0,0,15.886692,34.134354,322.801,8.17845,11.508189
2024-01-01 14:00:00,0.0,0,18.478903,31.727205,333.25958,6.349632,11.739788
2024-01-01 15:00:00,0.0,0,26.84181,21.201393,367.7399,3.9038475,11.958735
2024-01-01 16:00:00,0.0,0,29.296814,13.617043,436.19583,6.355066,12.135779
2024-01-01 17:00:00,0.0,0,29.176102,10.420814,477.8079,8.882554,12.484962
2024-01-01 18:00:00,0.0,0,26.231598,7.4751663,476.46036,11.244156,12.881932
2024-01-01 19:00:00,0.0,0,23.399996,8.313003,478.03308,11.28658,12.205341
2024-01-01 20:00:00,0.0,0,23.14837,9.950444,452.58615,10.225224,10.9234
2024-01-01 21:00:00,0.0,0,22.058004,11.044132,434.48288,7.5930157,9.898545
2024-01-01 22:00:00,0.0,0,19.713823,12.22812,380.7976,3.4378262,8.540543
2024-01-01 23:00:00,0.0,0,17.13727,15.322571,350.0436,1.2334253,6.7502103
2024-01-02 00:00:00,0.0,0,14.347209,16.887077,323.3383,0.331766,5.2044744
2024-01-02 01:00:00,0.0,0,15.355198,18.773026,300.24527,0.26379552,7.5230184
2024-01-02 02:00:00,0.0,0,15.076499,21.01804,285.04324,0.1880096,7.1773677
2024-01-02 03:00:00,0.0,0,14.88197,21.994078,275.3829,0.17583682,7.114342
2024-01-02 04:00:00,0.0,0,14.281101,20.851877,270.97092,0.28426683,7.7566113
2024-01-02 05:00:00,0.0,0,15.589053,16.520868,287.91373,1.4188734,8.69653
2024-01-02 06:00:00,0.0,0,19.519373,12.910993,325.2783,4.0449777,9.384873
2024-01-02 07:00:00,0.0,0,25.57052,11.623512,348.34534,10.192904,9.302037
2024-01-02 08:00:00,0.0,0,23.438803,12.230052,363.46362,12.073806,10.513061
2024-01-02 09:00:00,0.0,0,21.973337,14.113446,383.84335,13.885076,11.163681
2024-01-02 10:00:00,0.0,0,22.729174,21.708641,319.91046,8.338202,9.835456
2024-01-02 11:00:00,0.0,0,19.11494,29.90365,303.06625,7.1064544,8.990261
2024-01-02 12:00:00,0.0,0,15.4300585,38.573143,279.43503,5.697481,8.098535
2024-01-02 13:00:00,0.0,0,13.357686,45.103527,254.5934,3.4997568,7.1550756
2024-01-02 14:00:00,0.0,0,13.459419,47.266483,256.02963,2.4738162,6.991977
2024-01-02 15:00:00,0.0,0,18.793228,36.401333,274.3209,1.9774475,6.5546546
